name,codename,cores,clock,socket,process,l3_cache,tdp,released
Ryzen 3 4300U,Renoir,4,2.7 to 3.7 GHz,Socket FP6,7,4,25,2020-01-06
Ryzen 5 4500U,Renoir,6,2.3 to 4 GHz,Socket FP6,7,11,25,2020-01-06
Ryzen 5 4600H,Renoir,6  / 12,3 to 4 GHz,Socket FP6,7,11,54,2020-01-06
Ryzen 5 4600HS,Renoir,6  / 12,3 to 4 GHz,Socket FP6,7,11,35,2020-01-06
Ryzen 5 4600U,Renoir,6  / 12,2.1 to 4 GHz,Socket FP6,7,11,25,2020-01-06
Ryzen 7 4700U,Renoir,8,1.8 to 4.2 GHz,Socket FP6,7,12,25,2020-01-06
Ryzen 7 4800H,Renoir,8  / 16,2.9 to 4.2 GHz,Socket FP6,7,12,54,2020-01-06
Ryzen 7 4800HS,Renoir,8  / 16,2.9 to 4.2 GHz,Socket FP6,7,12,35,2020-01-06
Ryzen 7 4800U,Renoir,8  / 16,1.8 to 4.2 GHz,Socket FP6,7,8,25,2020-01-06
Ryzen 9 4900H,Renoir,8  / 16,3.3 to 4.4 GHz,Socket FP6,7,12,54,2020-03-16
Ryzen 9 4900HS,Renoir,8  / 16,3 to 4.3 GHz,Socket FP6,7,12,35,2020-03-07
A10-5745M,Richland,4,2.1 to 2.9 GHz,Socket FP2,32,N/A,25,2013-06-01
A10-5750M,Richland,4,2.5 to 3.5 GHz,Socket FS1r2,32,N/A,35,2013-06-01
A10-5757M,Richland,4,2.5 to 3.5 GHz,Socket FP2,32,N/A,35,2013-06-01
A10-6700,Richland,4,3.7 to 4.3 GHz,Socket FM2,32,N/A,65,2013-06-01
A10-6700T,Richland,4,2.5 to 3.5 GHz,Socket FM2,32,N/A,45,2013-09-16
A10-6790K,Richland,4,4 to 4.3 GHz,Socket FM2,32,N/A,100,2013-10-28
A10-6800K,Richland,4,4.1 to 4.4 GHz,Socket FM2,32,N/A,100,2013-06-01
A4-4000,Richland,2,3 to 3.2 GHz,Socket FM2,32,N/A,65,2013-06-01
A4-5145M,Richland,2,2 to 2.6 GHz,Socket FP2,32,N/A,17,2013-06-01
A4-5150M,Richland,2,2.7 to 3.3 GHz,Socket FS1r2,32,N/A,35,2013-03-12
A4-6300,Richland,2,3.7 to 3.9 GHz,Socket FM2,32,N/A,65,2013-06-01
A6-5345M,Richland,2,2.2 to 2.8 GHz,Socket FP2,32,N/A,17,2013-06-01
A6-5350M,Richland,2,2.9 to 3.5 GHz,Socket FS1r2,32,N/A,35,2013-06-01
A6-5357M,Richland,2,2.9 to 3.5 GHz,Socket FP2,32,N/A,35,2013-06-01
A6-6400K,Richland,2,3.9 to 4.1 GHz,Socket FM2,32,N/A,65,2013-06-01
A8-5545M,Richland,4,1.7 to 2.7 GHz,Socket FP2,32,N/A,25,2013-06-01
A8-5550M,Richland,4,2.1 to 3.1 GHz,Socket FS1r2,32,N/A,35,2013-06-01
A8-5557M,Richland,4,2.1 to 3.1 GHz,Socket FP2,32,N/A,35,2013-06-01
A8-6500,Richland,4,3.5 to 4.1 GHz,Socket FM2,32,N/A,65,2013-06-01
A8-6600K,Richland,4,3.9 to 4.2 GHz,Socket FM2,32,N/A,100,2013-06-01
Sempron 2800+,Roma,1,1600 MHz,Socket 754,90,N/A,25,2005-07-15
Sempron 3000+,Roma,1,1800 MHz,Socket 754,90,N/A,25,2005-07-15
Sempron 3100+,Roma,1,1800 MHz,Socket 754,90,N/A,25,2005-07-15
Sempron 3300+,Roma,1,2000 MHz,Socket 754,90,N/A,25,2005-07-15
Sempron 3400+,Roma,1,2000 MHz,Socket 754,90,N/A,25,2006-05-17
EPYC 7232P,Rome,8  / 16,3.1 to 3.2 GHz,Socket SP3,7,32,120,2019-08-07
EPYC 7252,Rome,8  / 16,2.8 to 3.2 GHz,Socket SP3,7,64,120,2019-08-07
EPYC 7262,Rome,8  / 16,3.1 to 3.3 GHz,Socket SP3,7,128,155,2019-08-07
EPYC 7272,Rome,12  / 24,2.6 to 3.2 GHz,Socket SP3,7,64,120,2019-08-07
EPYC 7282,Rome,16  / 32,2.8 to 3.2 GHz,Socket SP3,7,64,120,2019-08-07
EPYC 7302,Rome,16  / 32,3 to 3.3 GHz,Socket SP3,7,128,155,2019-08-07
EPYC 7302P,Rome,16  / 32,3 to 3.3 GHz,Socket SP3,7,128,155,2019-08-07
EPYC 7352,Rome,24  / 48,2.4 to 3.3 GHz,Socket SP3,7,128,155,2019-08-07
EPYC 7402,Rome,24  / 48,2.8 to 3.35 GHz,Socket SP3,7,128,180,2019-08-07
EPYC 7402P,Rome,24  / 48,2.8 to 3.35 GHz,Socket SP3,7,128,180,2019-08-07
EPYC 7452,Rome,32  / 64,2.2 to 3.35 GHz,Socket SP3,7,128,155,2019-08-07
EPYC 7502,Rome,32  / 64,2.5 to 3.35 GHz,Socket SP3,7,128,180,2019-08-07
EPYC 7502P,Rome,32  / 64,2.5 to 3.35 GHz,Socket SP3,7,128,180,2019-08-07
EPYC 7542,Rome,32  / 64,2.9 to 3.4 GHz,Socket SP3,7,128,225,2019-08-07
EPYC 7552,Rome,48  / 96,2.2 to 3.35 GHz,Socket SP3,7,192,200,2019-08-07
EPYC 7642,Rome,48  / 96,2.4 to 3.4 GHz,Socket SP3,7,256,225,2019-08-07
EPYC 7702,Rome,64  / 128,2 to 3.35 GHz,Socket SP3,7,256,200,2019-08-07
EPYC 7702P,Rome,64  / 128,2 to 3.35 GHz,Socket SP3,7,256,200,2019-08-07
EPYC 7742,Rome,64  / 128,2.25 to 3.4 GHz,Socket SP3,7,256,225,2019-08-07
EPYC 7F32,Rome,8  / 16,3.7 to 3.9 GHz,Socket SP3,7,128,180,2020-04-14
EPYC 7F52,Rome,16  / 32,3.5 to 3.9 GHz,Socket SP3,7,256,155,2020-04-14
EPYC 7F72,Rome,24  / 48,3.2 to 3.7 GHz,Socket SP3,7,192,240,2020-04-14
EPYC 7H12,Rome,64  / 128,2.6 to 3.3 GHz,Socket SP3,7,256,280,2019-09-18
Athlon 64 3500+,San Diego,1,2.2 GHz,Socket 939,90,N/A,67,2001-01-01
Athlon 64 3700+,San Diego,1,2.2 GHz,Socket 939,90,N/A,89,2004-05-04
Athlon 64 4000+,San Diego,1,2.4 GHz,Socket 939,90,N/A,89,2004-10-19
Athlon 64 FX-55,San Diego,1,2.6 GHz,Socket 939,90,N/A,104,2004-10-10
Athlon 64 FX-57,San Diego,1,2.8 GHz,Socket 939,90,N/A,104,2005-06-27
Celeron 725C,Sandy Bridge,1,1300 MHz,BGA1023,32,1.5,17,2011-07-01
Celeron 787,Sandy Bridge,1,1300 MHz,BGA1023,32,1.5,17,2011-07-01
Celeron 797,Sandy Bridge,1,1400 MHz,BGA1023,32,1.5,17,2012-01-01
Celeron 807,Sandy Bridge,1,1500 MHz,BGA1023,32,1.5,17,2012-07-01
Celeron 847,Sandy Bridge,2,1100 MHz,BGA1023,32,2,17,2011-06-19
Celeron 857,Sandy Bridge,2,1200 MHz,BGA1023,32,2,17,2011-07-01
Celeron 867,Sandy Bridge,2,1300 MHz,BGA1023,32,2,17,2012-01-01
Celeron 877,Sandy Bridge,2,1400 MHz,BGA1023,32,2,17,2012-07-01
Celeron 887,Sandy Bridge,2,1500 MHz,BGA1023,32,2,17,2012-09-01
Celeron B710,Sandy Bridge,1,1600 MHz,Socket G2 (988B),32,1.5,35,2011-06-19
Celeron B720,Sandy Bridge,1,1700 MHz,Socket G2 (988B),32,1.5,35,2012-01-01
Celeron B730,Sandy Bridge,1,1800 MHz,Socket G2 (988B),32,1.5,35,2012-07-01
Celeron B800,Sandy Bridge,2,1500 MHz,Socket G2 (988B),32,2,35,2011-06-19
Celeron B815,Sandy Bridge,2,1600 MHz,Socket G2 (988B),32,2,35,2012-01-01
Celeron B820,Sandy Bridge,2,1700 MHz,Socket G2 (988B),32,2,35,2012-07-01
Celeron B830,Sandy Bridge,2,1800 MHz,Socket G2 (988B),32,2,35,2012-09-01
Celeron B840,Sandy Bridge,2,1900 MHz,Socket G2 (988B),32,2,35,2011-07-01
Celeron G440,Sandy Bridge,1,1600 MHz,Socket 1155,32,1,35,2011-09-04
Celeron G460,Sandy Bridge,1,1800 MHz,Socket 1155,32,1.5,35,2011-12-12
Celeron G465,Sandy Bridge,1,1900 MHz,Socket 1155,32,1.5,35,2012-09-01
Celeron G530,Sandy Bridge,2,2.4 GHz,Socket 1155,32,2,65,2011-09-04
Celeron G530T,Sandy Bridge,2,2000 MHz,Socket 1155,32,2,35,2011-09-04
Celeron G540,Sandy Bridge,2,2.5 GHz,Socket 1155,32,2,65,2011-09-04
Celeron G540T,Sandy Bridge,2,2.1 GHz,Socket 1155,32,2,35,2011-09-04
Celeron G550,Sandy Bridge,2,2.6 GHz,Socket 1155,32,2,65,2012-06-01
Celeron G550T,Sandy Bridge,2,2.2 GHz,Socket 1155,32,2,35,2011-09-04
Celeron G555,Sandy Bridge,2,2.7 GHz,Socket 1155,32,2,65,2012-09-01
Core i3-2102,Sandy Bridge,2  / 4,3.1 GHz,Socket 1155,32,3,65,2011-06-01
Core i3-2105,Sandy Bridge,2  / 4,3.1 GHz,Socket 1155,32,3,65,2011-05-22
Core i3-2115C,Sandy Bridge,2  / 4,2000 MHz,Socket 1155,32,3,65,2012-05-01
Core i3-2120T,Sandy Bridge,2  / 4,2.6 GHz,Socket 1155,32,3,35,2011-09-04
Core i3-2125,Sandy Bridge,2  / 4,3.3 GHz,Socket 1155,32,3,65,2011-09-04
Core i3-2130,Sandy Bridge,2  / 4,3.4 GHz,Socket 1155,32,3,65,2011-09-04
Core i3-2312M,Sandy Bridge,2  / 4,2.1 GHz,BGA1023,32,3,35,2011-09-01
Core i3-2328M,Sandy Bridge,2  / 4,2.2 GHz,Socket G2 (988B),32,3,35,2012-09-01
Core i3-2330E,Sandy Bridge,2  / 4,2.2 GHz,Socket G2 (988B),32,3,35,2011-06-01
Core i3-2330M,Sandy Bridge,2  / 4,2.2 GHz,Socket G2 (988B),32,3,35,2011-06-01
Core i3-2330M,Sandy Bridge,2  / 4,2.2 GHz,BGA1023,32,3,35,2011-06-01
Core i3-2332M,Sandy Bridge,2  / 4,2.2 GHz,Socket G2 (988B),32,3,35,2011-09-01
Core i3-2340UE,Sandy Bridge,2  / 4,1300 MHz,BGA1023,32,3,17,2011-06-01
Core i3-2350M,Sandy Bridge,2  / 4,2.3 GHz,Socket G2 (988B),32,3,35,2011-10-01
Core i3-2357M,Sandy Bridge,2  / 4,1300 MHz,BGA1023,32,3,17,2011-06-01
Core i3-2367M,Sandy Bridge,2  / 4,1400 MHz,BGA1023,32,3,17,2011-10-01
Core i3-2370M,Sandy Bridge,2  / 4,2.4 GHz,Socket G2 (988B),32,3,35,2012-01-01
Core i3-2377M,Sandy Bridge,2  / 4,1500 MHz,BGA1023,32,3,17,2012-09-01
Core i5-2310,Sandy Bridge,4,2.9 to 3.2 GHz,Socket 1155,32,6,95,2011-05-22
Core i5-2320,Sandy Bridge,4,3 to 3.3 GHz,Socket 1155,32,6,95,2011-09-04
Core i5-2380P,Sandy Bridge,4,3.1 to 3.4 GHz,Socket 1155,32,6,95,2012-01-30
Core i5-2405S,Sandy Bridge,4,2.5 to 3.3 GHz,Socket 1155,32,6,65,2011-05-22
Core i5-2415M,Sandy Bridge,2  / 4,2.3 GHz,BGA1023,32,3,35,2011-09-01
Core i5-2430M,Sandy Bridge,2  / 4,2.4 GHz,Socket G2 (988B),32,3,35,2011-10-01
Core i5-2430M,Sandy Bridge,2  / 4,2.4 GHz,BGA1023,32,3,35,2011-10-01
Core i5-2435M,Sandy Bridge,2  / 4,2.4 GHz,BGA1023,32,3,35,2011-09-01
Core i5-2435M,Sandy Bridge,2  / 4,2.4 GHz,Socket G2 (988B),32,3,35,2011-09-01
Core i5-2450M,Sandy Bridge,2  / 4,2.5 GHz,BGA1023,32,3,35,2012-01-01
Core i5-2450M,Sandy Bridge,2  / 4,2.5 GHz,Socket G2 (988B),32,3,35,2012-01-01
Core i5-2450P,Sandy Bridge,4,3.2 to 3.5 GHz,Socket 1155,32,6,95,2012-01-30
Core i5-2467M,Sandy Bridge,2  / 4,1600 MHz,BGA1023,32,3,17,2011-06-01
Core i5-2550K,Sandy Bridge,4,3.4 to 3.8 GHz,Socket 1155,32,6,95,2012-01-30
Core i5-2557M,Sandy Bridge,2  / 4,1700 MHz,BGA1023,32,3,17,2011-06-01
Core i7-2670QM,Sandy Bridge,4  / 8,2.2 to 3.1 GHz,Socket G2 (988B),32,6,45,2011-10-12
Core i7-2675QM,Sandy Bridge,4  / 8,2.2 to 3.1 GHz,BGA1224,32,6,45,2011-10-12
Core i7-2700K,Sandy Bridge,4  / 8,3.5 to 3.9 GHz,Socket 1155,32,8,95,2011-10-24
Core i7-2760QM,Sandy Bridge,4  / 8,2.4 to 3.5 GHz,BGA1224,32,6,45,2011-09-04
Core i7-2760QM,Sandy Bridge,4  / 8,2.4 to 3.5 GHz,Socket G2 (988B),32,6,45,2011-09-04
Core i7-2860QM,Sandy Bridge,4  / 8,2.5 to 3.6 GHz,Socket G2 (988B),32,8,45,2011-09-04
Core i7-2860QM,Sandy Bridge,4  / 8,2.5 to 3.6 GHz,BGA1224,32,8,45,2011-09-04
Core i7-2960XM,Sandy Bridge,4  / 8,2.7 to 3.7 GHz,Socket G2 (988B),32,8,55,2011-09-04
Pentium 350,Sandy Bridge,2  / 4,1200 MHz,Socket 1155,32,3,15,2011-11-21
Pentium 957,Sandy Bridge,2,1200 MHz,BGA1023,32,2,17,2011-06-19
Pentium 967,Sandy Bridge,2,1300 MHz,BGA1023,32,2,17,2011-10-02
Pentium 977,Sandy Bridge,2,1400 MHz,BGA1023,32,2,17,2012-01-01
Pentium 987,Sandy Bridge,2,1500 MHz,BGA1023,32,2,17,2013-02-01
Pentium 997,Sandy Bridge,2,1600 MHz,BGA1023,32,2,17,2012-09-01
Pentium B915C,Sandy Bridge,2,1500 MHz,Socket G2 (988B),32,2,35,2012-05-01
Pentium B940,Sandy Bridge,2,2000 MHz,Socket G2 (988B),32,2,35,2011-06-19
Pentium B950,Sandy Bridge,2,2.1 GHz,Socket G2 (988B),32,2,35,2011-06-19
Pentium B960,Sandy Bridge,2,2.2 GHz,Socket G2 (988B),32,2,35,2011-10-02
Pentium B970,Sandy Bridge,2,2.3 GHz,Socket G2 (988B),32,2,35,2012-01-01
Pentium B980,Sandy Bridge,2,2.4 GHz,Socket G2 (988B),32,2,35,2012-09-01
Pentium G620,Sandy Bridge,2,2.6 GHz,Socket 1155,32,3,65,2011-05-22
Pentium G620T,Sandy Bridge,2,2.2 GHz,Socket 1155,32,3,35,2011-05-22
Pentium G622,Sandy Bridge,2,2.6 GHz,Socket 1155,32,3,65,2011-05-22
Pentium G630,Sandy Bridge,2,2.7 GHz,Socket 1155,32,3,65,2011-09-04
Pentium G630T,Sandy Bridge,2,2.3 GHz,Socket 1155,32,3,35,2011-09-04
Pentium G632,Sandy Bridge,2,2.7 GHz,Socket 1155,32,3,65,2011-09-04
Pentium G640,Sandy Bridge,2,2.8 GHz,Socket 1155,32,3,65,2012-06-03
Pentium G640T,Sandy Bridge,2,2.4 GHz,Socket 1155,32,3,35,2012-06-03
Pentium G645,Sandy Bridge,2,2.9 GHz,Socket 1155,32,3,65,2012-09-02
Pentium G645T,Sandy Bridge,2,2.5 GHz,Socket 1155,32,3,35,2012-09-02
Pentium G840,Sandy Bridge,2,2.8 GHz,Socket 1155,32,3,65,2011-05-22
Pentium G850,Sandy Bridge,2,2.9 GHz,Socket 1155,32,3,65,2011-05-22
Pentium G860,Sandy Bridge,2,3 GHz,Socket 1155,32,3,65,2011-09-04
Pentium G860T,Sandy Bridge,2,2.6 GHz,Socket 1155,32,3,35,2012-06-03
Pentium G870,Sandy Bridge,2,3.1 GHz,Socket 1155,32,3,65,2012-06-03
Xeon E3-1220,Sandy Bridge,4,3.1 to 3.4 GHz,Socket 1155,32,8,80,2011-04-03
Xeon E3-1220L,Sandy Bridge,2  / 4,2.2 to 3.4 GHz,Socket 1155,32,3,20,2011-04-03
Xeon E3-1225,Sandy Bridge,4,3.1 to 3.4 GHz,Socket 1155,32,6,95,2011-04-03
Xeon E3-1230,Sandy Bridge,4  / 8,3.2 to 3.6 GHz,Socket 1155,32,8,80,2011-04-03
Xeon E3-1235,Sandy Bridge,4  / 8,3.2 to 3.6 GHz,Socket 1155,32,8,95,2011-04-03
Xeon E3-1290,Sandy Bridge,4  / 8,3.6 to 4 GHz,Socket 1155,32,8,95,2011-05-29
Core i7-3820,Sandy Bridge-E,4  / 8,3.6 to 3.8 GHz,Socket 2011,32,10,130,2012-02-13
Core i7-3910K,Sandy Bridge-E,6  / 12,3 to 3.6 GHz,Socket 2011,32,12,130,2013-07-24
Core i7-3930K,Sandy Bridge-E,6  / 12,3.2 to 3.8 GHz,Socket 2011,32,12,130,2011-11-14
Core i7-3960X,Sandy Bridge-E,6  / 12,3.3 to 3.9 GHz,Socket 2011,32,15,130,2011-11-14
Core i7-3970X,Sandy Bridge-E,6  / 12,3.5 to 4 GHz,Socket 2011,32,15,150,2012-11-01
Xeon E5-1620,Sandy Bridge-E,4  / 8,3.6 to 3.8 GHz,Socket 2011,32,10,130,2012-03-06
Xeon E5-1650,Sandy Bridge-E,6  / 12,3.2 to 3.8 GHz,Socket 2011,32,12,130,2012-03-06
Xeon E5-1660,Sandy Bridge-E,6  / 12,3.3 to 3.9 GHz,Socket 2011,32,15,130,2012-03-06
Xeon E5-1410,Sandy Bridge-EN,4  / 8,2.8 to 3.2 GHz,Socket 1356,32,10,80,2012-05-14
Xeon E5-1428L,Sandy Bridge-EN,6  / 12,1800 MHz,Socket 1356,32,15,60,2012-05-14
Xeon E5-2403,Sandy Bridge-EN,4  / 8,1800 MHz,Socket 1356,32,10,80,2012-05-14
Xeon E5-2407,Sandy Bridge-EN,4  / 8,2.2 GHz,Socket 1356,32,10,80,2012-05-14
Xeon E5-2418L,Sandy Bridge-EN,4  / 8,2 to 2.1 GHz,Socket 1356,32,10,50,2012-05-14
Xeon E5-2420,Sandy Bridge-EN,6  / 12,1.9 to 2.4 GHz,Socket 1356,32,15,95,2012-05-14
Xeon E5-2428L,Sandy Bridge-EN,6  / 12,1.8 to 2 GHz,Socket 1356,32,15,60,2012-05-14
Xeon E5-2430,Sandy Bridge-EN,6  / 12,2.2 to 2.7 GHz,Socket 1356,32,15,95,2012-05-14
Xeon E5-2430L,Sandy Bridge-EN,6  / 12,2 to 2.5 GHz,Socket 1356,32,15,60,2012-05-14
Xeon E5-2440,Sandy Bridge-EN,6  / 12,2.4 to 2.9 GHz,Socket 1356,32,15,95,2012-05-14
Xeon E5-2448L,Sandy Bridge-EN,8  / 16,1.8 to 2.1 GHz,Socket 1356,32,20,70,2012-05-14
Xeon E5-2450,Sandy Bridge-EN,8  / 16,2.1 to 2.9 GHz,Socket 1356,32,20,95,2012-05-14
Xeon E5-2450L,Sandy Bridge-EN,8  / 16,1.8 to 2.3 GHz,Socket 1356,32,20,70,2012-05-14
Xeon E5-2470,Sandy Bridge-EN,8  / 16,2.3 to 3.1 GHz,Socket 1356,32,20,95,2012-05-14
Xeon E5-2603,Sandy Bridge-EP,4,1800 MHz,Socket 2011,32,10,80,2012-03-06
Xeon E5-2609,Sandy Bridge-EP,4,2.4 GHz,Socket 2011,32,10,80,2012-03-06
Xeon E5-2620,Sandy Bridge-EP,6  / 12,2 to 2.5 GHz,Socket 2011,32,15,95,2012-03-06
Xeon E5-2630,Sandy Bridge-EP,6  / 12,2.3 to 2.8 GHz,Socket 2011,32,15,95,2012-03-06
Xeon E5-2630L,Sandy Bridge-EP,6  / 12,2 to 2.5 GHz,Socket 2011,32,15,60,2012-03-06
Xeon E5-2637,Sandy Bridge-EP,2  / 4,3 to 3.5 GHz,Socket 2011,32,5,80,2012-03-06
Xeon E5-2640,Sandy Bridge-EP,6  / 12,2.5 to 3 GHz,Socket 2011,32,15,95,2012-03-06
Xeon E5-2643,Sandy Bridge-EP,4  / 8,3.3 to 3.5 GHz,Socket 2011,32,10,130,2012-03-06
Xeon E5-2648L,Sandy Bridge-EP,8  / 16,1.8 to 2.3 GHz,Socket 2011,32,20,70,2012-03-06
Xeon E5-2650,Sandy Bridge-EP,8  / 16,2 to 2.8 GHz,Socket 2011,32,20,95,2012-03-06
Xeon E5-2650L,Sandy Bridge-EP,8  / 16,1.8 to 2.3 GHz,Socket 2011,32,20,70,2012-03-06
Xeon E5-2658,Sandy Bridge-EP,8  / 16,2.1 to 2.4 GHz,Socket 2011,32,20,95,2012-03-06
Xeon E5-2660,Sandy Bridge-EP,8  / 16,2.2 to 3 GHz,Socket 2011,32,20,95,2012-03-06
Xeon E5-2665,Sandy Bridge-EP,8  / 16,2.4 to 3.1 GHz,Socket 2011,32,20,115,2012-03-06
Xeon E5-2667,Sandy Bridge-EP,6  / 12,2.9 to 3.5 GHz,Socket 2011,32,15,130,2012-03-06
Xeon E5-2670,Sandy Bridge-EP,8  / 16,2.6 to 3.3 GHz,Socket 2011,32,20,115,2012-03-06
Xeon E5-2680,Sandy Bridge-EP,8  / 16,2.7 to 3.5 GHz,Socket 2011,32,20,130,2012-03-06
Xeon E5-2687W,Sandy Bridge-EP,8  / 16,3.1 to 3.8 GHz,Socket 2011,32,20,150,2012-03-06
Xeon E5-2690,Sandy Bridge-EP,8  / 16,2.9 to 3.8 GHz,Socket 2011,32,20,135,2012-03-06
Xeon E5-4603,Sandy Bridge-EP,4  / 8,2000 MHz,Socket 2011,32,10,95,2012-05-14
Xeon E5-4607,Sandy Bridge-EP,6  / 12,2.2 GHz,Socket 2011,32,15,95,2012-05-14
Xeon E5-4610,Sandy Bridge-EP,6  / 12,2.4 to 2.9 GHz,Socket 2011,32,15,130,2012-05-14
Xeon E5-4617,Sandy Bridge-EP,6  / 12,2.9 to 3.4 GHz,Socket 2011,32,15,130,2012-05-14
Xeon E5-4620,Sandy Bridge-EP,8  / 16,2.7 to 2.6 GHz,Socket 2011,32,16,130,2012-05-14
Xeon E5-4640,Sandy Bridge-EP,8  / 16,2.4 to 2.8 GHz,Socket 2011,32,20,95,2012-05-14
Xeon E5-4650,Sandy Bridge-EP,8  / 16,2.7 to 3.3 GHz,Socket 2011,32,20,130,2012-05-14
Xeon E5-4650L,Sandy Bridge-EP,8  / 16,2.6 to 3.1 GHz,Socket 2011,32,20,115,2012-05-14
Sempron 130,Sargas,1,2.6 GHz,Socket AM3,45,N/A,45,2011-08-01
Sempron 140,Sargas,1,2.7 GHz,Socket AM3,45,N/A,45,2009-07-22
Sempron 145,Sargas,1,2.8 GHz,Socket AM3,45,N/A,45,2010-09-01
Sempron 150,Sargas,1,2.9 GHz,Socket AM3,45,N/A,45,2010-12-07
Opteron A1120,Seattle,4,1700 MHz,Socket SP1,28,8,25,2016-01-14
Opteron A1150,Seattle,8,1700 MHz,Socket SP1,28,8,32,2016-01-14
Opteron A1170,Seattle,8,2000 MHz,Socket SP1,28,8,32,2016-01-14
Opteron 4310 EE,Seoul,4,2.2 to 3 GHz,Socket C32,32,8,35,2012-12-04
Opteron 4332 HE,Seoul,6,3 to 3.7 GHz,Socket C32,32,8,65,2012-12-04
Opteron 4334,Seoul,6,3.1 to 3.5 GHz,Socket C32,32,8,95,2012-12-04
Opteron 4340,Seoul,6,3.5 to 3.8 GHz,Socket C32,32,8,95,2012-12-04
Opteron 4376 HE,Seoul,8,2.6 to 3.6 GHz,Socket C32,32,8,65,2012-12-04
Opteron 4386,Seoul,8,3.1 to 3.8 GHz,Socket C32,32,8,95,2012-12-04
Opteron 43CX EE,Seoul,4,2.2 to 3 GHz,Socket C32,32,8,35,2012-12-04
Opteron 43GK HE,Seoul,8,2.6 to 3.6 GHz,Socket C32,32,8,65,2012-12-04
Atom Z500,Silverthorne,1,800 MHz,BGA 441,45,N/A,1,2008-04-02
Atom Z510,Silverthorne,1,1100 MHz,BGA 441,45,N/A,2,2008-04-02
Atom Z510P,Silverthorne,1  / 2,1100 MHz,BGA 437,45,N/A,2,2009-03-02
Atom Z510PT,Silverthorne,1  / 2,1100 MHz,BGA 437,45,N/A,2,2009-03-02
Atom Z515,Silverthorne,1,1200 MHz,BGA 441,45,N/A,1,2009-04-08
Atom Z520,Silverthorne,1  / 2,1334 MHz,BGA 441,45,N/A,2,2008-04-02
Atom Z520PT,Silverthorne,1  / 2,1334 MHz,BGA 437,45,N/A,2,2009-03-02
Atom Z530,Silverthorne,1  / 2,1600 MHz,BGA 441,45,N/A,2,2008-04-02
Atom Z530P,Silverthorne,1  / 2,1600 MHz,BGA 437,45,N/A,2,2009-03-02
Atom Z540,Silverthorne,1  / 2,1867 MHz,BGA 441,45,N/A,2,2008-04-02
Atom Z550,Silverthorne,1  / 2,2000 MHz,BGA 441,45,N/A,2,2009-04-08
Atom Z560,Silverthorne,1  / 2,2.133 GHz,BGA 441,45,N/A,2,2010-06-01
Celeron G3900,Skylake,2,2.8 GHz,Socket 1151,14,4,51,2015-09-01
Celeron G3920,Skylake,2,2.9 GHz,Socket 1151,14,4,51,2015-09-01
Core i3-6100,Skylake,2  / 4,3.7 GHz,Socket 1151,14,4,51,2015-09-01
Core i3-6300,Skylake,2  / 4,3.8 GHz,Socket 1151,14,4,51,2015-09-01
Core i3-6320,Skylake,2  / 4,3.9 GHz,Socket 1151,14,4,51,2015-09-01
Core i5-6400,Skylake,4,2.7 to 3.3 GHz,Socket 1151,14,6,65,2015-07-02
Core i5-6500,Skylake,4,3.2 to 3.6 GHz,Socket 1151,14,6,65,2015-07-02
Core i5-6600,Skylake,4,3.3 to 3.9 GHz,Socket 1151,14,6,65,2015-07-02
Core i5-6600K,Skylake,4,3.5 to 3.9 GHz,Socket 1151,14,6,95,2015-07-02
Core i7-6700,Skylake,4  / 8,3.4 to 4 GHz,Socket 1151,14,8,65,2015-07-01
Core i7-6700K,Skylake,4  / 8,4 to 4.2 GHz,Socket 1151,14,8,95,2015-08-01
Core i7-6700T,Skylake,4  / 8,2.8 to 3.6 GHz,Socket 1151,14,8,35,2015-09-01
Core i7-6700TE,Skylake,4  / 8,2.4 to 3.4 GHz,Socket 1151,14,8,35,2015-09-01
Pentium G4400,Skylake,2,3.3 GHz,Socket 1151,14,4,51,2015-09-01
Pentium G4500,Skylake,2,3.5 GHz,Socket 1151,14,4,51,2015-09-01
Pentium G4520,Skylake,2,3.6 GHz,Socket 1151,14,4,51,2015-09-01
Core i5-6350HQ,Skylake-H,4,2.3 to 3.2 GHz,BGA1440,14,6,45,2016-01-24
Xeon E3-1280 v5,Skylake-S,4  / 8,3.7 to 4 GHz,Socket 1151,14,8,80,2015-10-19
Xeon Bronze 3106,Skylake-SP,8,2.1 to 3 GHz,Socket 3647,14,11,85,2017-07-11
Xeon Gold 6154,Skylake-SP,18  / 36,3 to 3.7 GHz,Socket 3647,14,24.75,200,2017-07-11
Xeon Platinum 8180,Skylake-SP,28  / 56,2.5 to 3.8 GHz,Socket 3647,14,38.5,205,2017-07-11
Xeon Platinum 8180M,Skylake-SP,28  / 56,2.5 to 3.8 GHz,Socket 3647,14,38.5,205,2017-07-11
Xeon Silver 4116,Skylake-SP,12  / 24,2.1 to 3 GHz,Socket 3647,14,16.5,85,2017-07-11
Xeon W-2195,Skylake-W,18  / 36,2.3 to 4.3 GHz,Socket 2066,14,24.75,140,2017-09-29
Xeon W-3175X,Skylake-W,28  / 56,3.1 to 4.3 GHz,Socket 3647,14,38.5,255,2018-12-19
Core i7-7800X,Skylake-X,6  / 12,3.5 to 4 GHz,Socket 2066,14,8.25,140,2017-06-26
Core i7-7820X,Skylake-X,8  / 16,3.6 to 4.5 GHz,Socket 2066,14,11,140,2017-06-26
